Name,Address,Grade Spring 2020,Grade Fall 2019,Grade Spring 2019,Grade Fall 2018,Grade Spring 2018,Grade Fall 2017,Grade Spring 2017,Infection MRSA,Infection C Diff,Infection in Blood,Infection in Urinary Tract,Infection after Colon Surgery,Problem with Surgery Object Left in Patient Body,Problem with Surgery Wound Open,Problem with Surgery Complications,Problem with Surgery Collapsed Lung,Problem with Surgery Breathing Problem,Problem with Surgery Blood Clot,Problem with Surgery Accidental Cuts,Practices to Prevent Errors Order Medications through Computer,Practices to Prevent Errors Safe Medication Administration,Practices to Prevent Errors Handwashing,Practices to Prevent Errors Communication about Medicine,Practices to Prevent Errors Communication about Discharge,Practices to Prevent Errors Staff Work Together,Safety Problems Bed Sores,Safety Problems Patient Fals and Injuries,Safety Problems Air on Gas Bubble in Blood,Safety Problems Track and Reduce Risks,Doctor Nurse Staff Leadership,Doctor Nurse Staff Qualified Nurses,Doctor Nurse Staff Trained Doctors for ICU Patients,Doctor Nurse Staff Communication with Doctors,Doctor Nurse Staff Communication with Nurses,Doctor Nurse Staff Responsiveness of Hospital Staff
Bay Area Hospital,"1775 Thompson Rd Coos Bay, OR",c,c,c,c,c,c,c,0,0.951,0.66,0.753,0,0,0.88,169.71,0.31,4.93,4.44,1.58,45,45,-2,80,91,-2,0.14,0.525,0,-2,-2,-2,5,92,91,88
Bayfront Health Port Charlotte,"2500 Harbor Boulevard Port Charlotte, FL",c,c,c,c,d,d,d,0.718,0.316,0,0.199,0,0,0.85,145.53,0.3,12.17,5.76,1.39,40,100,60,67,82,120,0.25,0.625,0,100,120,100,5,85,85,77
Bayfront Health Punta Gorda,"809 East Marion Avenue Punta Gorda, FL",c,c,c,d,d,c,d,-1,0.406,0,1.21,-1,0,0.93,147.12,0.25,10.33,6.22,1.45,40,100,60,73,84,120,1.15,0.57,0,100,120,100,5,85,88,81
Bayfront Health St. Petersburg,"701 Sixth Street South Saint Petersburg, FL",c,c,d,d,d,d,ns,0.651,0.398,0.074,0.913,1.59,0,1.18,156.35,0.3,9.87,5.14,1.03,70,100,-2,71,83,-2,0.55,0.766,0,-2,-2,-2,-2,88,88,82
Bayhealth Hospital Sussex Campus,"100 Wellness Way Milford, DE",b,d,ns,ns,ns,ns,ns,0,0.646,-1,0,-1,0,0.9,169.12,0.24,11.44,4.77,1.41,100,100,60,81,86,83.08,1.14,0.952,0,100,110.77,100,100,91,93,87
Bayhealth Kent Campus,"640 South State Street Dover, DE",b,d,c,c,c,c,c,0.645,0.708,0,0.736,0.266,0,0.8,142.31,0.48,9.8,5.09,1.06,100,100,60,77,85,83.08,0.6,0.717,0,100,110.77,100,100,91,92,86
Baylor Scott & White - McKinney,"5252 W. University Dr. McKinney, TX",a,a,a,a,a,a,a,0.58,0.734,0.43,0,0.323,0,0.9,174.63,0.3,4.68,3.37,1.05,-2,-2,-2,77,87,-2,0.89,0,0,-2,-2,-2,65,91,91,85
Baylor Scott & White All Saints Medical Center - Fort Worth,"1400 Eighth Avenue Fort Worth, TX",b,c,b,b,b,b,b,0.393,0.682,1.285,0.332,1.34,0,0.85,163.5,0.19,5.07,4.62,1,-2,-2,-2,78,87,-2,0.39,0.693,0,-2,-2,-2,65,91,91,83
Baylor Scott & White Heart and Vascular Hospital Dallas,"621 N. Hall Street Dallas, TX",a,a,a,a,a,a,a,-1,0,-1,-1,-1,0,0.93,158.75,0.21,5.38,2.63,1.17,100,100,60,82,88,120,0.23,0.429,0,100,120,100,-1,93,94,89
Baylor Scott & White Medical Center - College Station,"700 Scott & White Drive College Station, TX",c,b,c,c,a,a,a,1.899,0.392,0.626,0.474,1.68,0,0.88,148.76,0.27,9.62,2.94,1.34,-2,-2,-2,80,87,-2,0.62,0.511,0,-2,-2,-2,5,93,93,84
Baylor Scott & White Medical Center - Irving,"1901 N. MacArthur Boulevard Irving, TX",c,b,b,b,b,b,b,0.477,0.5,0.756,0.941,0.186,0.14,0.88,143.62,0.24,7.53,2.59,1.24,-2,-2,-2,80,86,-2,0.55,0.14,0,-2,-2,-2,5,91,91,84
Baylor Scott & White Medical Center - Temple,"2401 South 31st Street Temple, TX",a,a,a,a,a,a,a,0.787,0.532,0.764,0.618,0.236,0,0.7,165.67,0.35,8.56,3.39,1.63,-2,100,60,79,87,120,0.08,0.434,0,100,110.77,100,100,92,92,83
Baylor Scott & White Medical Center - Marble Falls,"810 West Highway 71 Marble Falls, TX",a,a,a,a,ns,ns,ns,-1,0.351,-1,-1,-1,0,0.93,-1,0.25,6.12,3.82,1.21,-2,-2,-2,81,90,-2,0.74,0,0,-2,-2,-2,5,93,93,86
Baylor Scott & White Medical Center - Waxahachie,"2400 North I-35 E Waxahachie, TX",a,b,b,c,b,a,a,0.664,0.419,1.621,1.533,0.786,0,0.89,180.35,0.27,5.71,3.25,1.32,-2,-2,-2,81,88,-2,0.15,0.538,0,-2,-2,-2,65,92,93,85
Baylor Scott & White Medical Center Plano,"4700 Alliance Boulevard Plano, TX",c,b,b,a,c,b,b,0.915,0.663,1.971,2.014,0.655,0.139,0.81,158.36,0.24,3.9,4.36,1.23,-2,-2,-2,78,89,-2,0.26,0.139,0,-2,-2,-2,5,93,91,85
Baylor Scott and White Medical Center - Lake Pointe,"6800 Scenic Drive Rowlett, TX",c,c,c,c,a,b,a,0,1.246,0.797,0.268,1.007,0,0.88,174.46,0.23,-1,3.36,1.05,-2,-2,-2,73,83,-2,0.17,0.729,0,-2,-2,-2,5,90,88,81
Baylor Scott & White Medical Center Centennial,"12505 Lebanon Road Frisco, TX",c,c,c,c,b,b,b,-1,1.423,1.253,1.302,-1,0,0.93,-1,0.25,-1,3.51,1.2,100,100,60,75,85,120,0.25,0.504,0,100,110.77,100,50,89,90,83
Baylor Scott & White Medical Center at Carrollton,"4343 N. Josey Lane Carrollton, TX",c,c,c,b,c,c,c,0,0.695,-1,1.497,1.157,0,1.2,145.58,0.28,6.56,3.25,1.14,-2,-2,-2,74,83,-2,0.78,0.275,0,-2,-2,-2,65,90,90,82
Baylor Scott and White Medical Center - Sunnyvale,"231 S. Collins Road Sunnyvale, TX",c,c,a,a,b,c,b,-1,0.874,0,0,0.867,0,0.93,-1,0.23,8.03,3.53,1.19,-2,-2,-2,75,81,-2,0.46,0.622,0,-2,-2,-2,5,89,90,84
Baylor Scott & White Medical Center- Hillcrest,"100 Hillcrest Medical Blvd Waco, TX",b,b,c,c,b,c,c,0.515,0.584,2.219,0.747,0.677,0,0.86,168.99,0.3,4.38,4.05,0.99,-2,-2,-2,80,88,-2,0.58,0,0,-2,-2,-2,5,93,93,84
Baylor Scott and White Medical Center at Grapevine,"1650 W. College Street Grapevine, TX",a,b,b,a,c,c,b,0.261,0.447,0,0.941,0.694,0,1.09,143.18,0.18,4.95,2.97,0.85,-2,-2,-2,77,88,-2,0.53,0.574,0,-2,-2,-2,85,92,91,84
Baylor St. Luke's Medical Center,"6720 Bertner Avenue Houston, TX",b,b,b,a,a,c,c,0.869,0.44,0.757,0.735,0.596,0,0.89,163.23,0.22,6.68,3.19,0.77,100,100,42,77,85,101.54,0.38,0.653,0,100,120,100,100,92,90,82
Baystate Franklin Medical Center,"164 High Street Greenfield, MA",a,a,a,a,b,a,a,-1,0.364,-1,1.543,-1,0,0.91,-1,0.24,5.46,3.04,1.13,100,75,54,77,91,120,0.23,0,0,100,120,94.12,5,90,92,86
Baystate Wing Hospital,"40 Wright Street Palmer, MA",c,c,ns,ns,ns,ns,ns,-1,0.898,-1,-1,-1,0,0.94,-1,0.25,6.73,4.09,1.57,100,-1,54,77,85,120,0.26,0.732,0,100,110.77,88.24,-1,91,91,84
Bayshore Medical Center,"727 N. Beers Street Holmdel, NJ",c,c,a,a,a,a,c,1.652,0.583,0.864,1.327,1.325,0,1.17,169.77,0.25,8.04,4.02,1.02,100,100,60,72,83,120,0.24,0.277,0,100,120,100,100,87,89,81
Baystate Noble Hospital,"115 West Silver St. Westfield, MA",a,a,a,a,ns,a,a,-1,0.373,-1,-1,-1,0,0.94,-1,0.25,6.96,3.47,1.25,100,75,60,83,89,120,0.26,0.455,0,100,120,100,-1,91,94,92
Baystate Medical Center,"759 Chestnut Street Springfield, MA",b,c,b,b,b,b,b,0.988,0.495,1.245,1.625,1.756,0,0.84,190.09,0.19,3.92,2.43,1.05,100,75,60,75,86,110.77,0.69,0.536,0,100,120,100,100,90,92,82
Beaumont Hospital - Grosse Pointe,"468 Cadieux Road Grosse Pointe, MI",a,a,b,b,b,b,b,0.997,0.659,0.664,0.685,0.284,0,0.85,159.86,0.18,6.57,2.78,0.92,100,100,60,79,89,120,0.72,0.189,0,100,120,100,50,91,93,87
Beaufort Memorial Hospital,"955 Ribaut Road Beaufort, SC",c,a,b,a,a,a,a,2.902,0.117,2.61,1.036,0.754,0,0.88,148.26,0.25,9.94,4.37,1.56,70,75,60,77,87,120,0.32,0.159,0,100,120,100,100,90,90,79
Beaumont Hospital - Troy,"44201 Dequindre Road Troy, MI",a,a,a,a,c,b,c,1.128,0.774,0.745,0.449,1.558,0,0.69,117.36,0.23,2.19,3.43,0.75,70,100,60,76,87,120,0.47,0.4,0,100,120,100,100,91,93,87
"Beaumont Hospital, Dearborn","18101 Oakwood Boulevard Dearborn, MI",b,b,b,b,c,c,c,0.8,0.626,0.733,0.753,2.747,0.051,0.97,136.41,0.16,7.15,3.02,0.65,70,100,60,76,86,120,0.59,0.457,0,100,120,100,100,89,91,85
Baylor University Medical Center at Dallas,"3500 Gaston Avenue Dallas, TX",a,a,a,b,b,b,b,0.529,0.402,1.124,0.268,1.189,0,0.6,191.85,0.18,5.49,3.01,1.08,-2,-2,-2,78,86,-2,0.37,0.241,0,-2,-2,-2,85,92,92,82
"Beaumont Hospital, Taylor","10000 Telegraph Road Taylor, MI",b,b,b,a,c,c,a,0.822,0.752,1.311,1.165,-1,0,0.92,-1,0.24,8.52,3.1,1.16,70,100,60,80,90,120,0.13,0.232,0,81.82,120,100,50,91,93,89
"Beaumont Hospital, Trenton","5450 Fort Street Trenton, MI",a,a,b,b,b,b,b,0.785,0.732,0.405,0.652,1.709,0,0.85,145.79,0.21,5.62,5,1.01,45,100,60,77,88,120,0.36,0.671,0,100,120,100,100,92,93,85
"Beaumont Hospital, Farmington Hills","28050 Grand River Avenue Farmington Hills, MI",b,b,b,a,b,c,c,0.948,0.717,0.869,0.887,0.997,0,0.86,162.29,0.18,3.68,3.49,1.1,40,100,60,75,86,120,0.47,0.887,0,100,120,100,100,91,92,87
"Beaumont Hospital, Wayne","33155 Annapolis Street Wayne, MI",b,c,c,c,c,c,c,1.89,0.423,1.257,0.752,1.097,0,0.88,165.24,0.26,6.82,3.26,1.07,70,100,60,74,84,120,0.11,0.689,0,100,120,100,100,89,90,81
"Beaumont Hospital, Royal Oak","3601 W. Thirteen Mile Road Royal Oak, MI",c,c,b,b,c,c,c,0.859,0.791,0.931,0.864,1.727,0.051,0.93,129.62,0.12,1.83,4.77,1.12,70,100,60,75,86,120,2.33,0.732,0,100,120,100,100,91,92,84
Beauregard Health System,"600 South Pine Street DeRidder, LA",c,c,c,ns,ns,a,a,-1,0,-1,0,-1,0,0.94,-1,0.3,-1,4.83,1.24,45,45,-2,80,85,-2,0.32,1.587,0,-2,-2,-2,5,92,94,87
Beebe Healthcare,"424 Savannah Road Lewes, DE",a,a,c,c,c,b,b,0.493,0.742,0.395,0.845,0.233,0,0.78,163.75,0.29,5.6,3.37,1.9,70,100,60,80,89,110.77,0.2,0.08,0,90.91,110.77,94.12,15,93,94,89
Bellin Memorial Hospital,"744 S. Webster Avenue Green Bay, WI",a,a,a,a,c,b,a,0,0.558,0.675,1.253,1.47,0,0.84,182.08,0.35,6.62,3.9,0.94,70,100,60,82,89,120,0.15,0,0,100,120,100,5,94,93,89
Beckley ARH Hospital,"306 Stanaford Road Beckley, WV",d,d,c,c,c,d,c,0,0.376,0.264,0,-1,0,0.92,139.6,0.24,15.52,4.92,1.46,-2,-2,-2,73,83,-2,0.14,0.849,0,-2,-2,-2,5,88,87,77
Belton Regional Medical Center,"17065 S. 71 Highway Belton, MO",a,a,b,b,ns,a,a,-1,0.372,-1,-1,-1,0,0.92,-1,0.24,5.18,3.51,1.21,100,100,60,82,85,110.77,0.28,0,0,100,110.77,94.12,5,88,92,87
Bellevue Medical Center,"2500 Bellevue Medical Center Drive Bellevue, NE",b,b,b,b,b,a,a,-1,0.675,0,1.908,-1,0,1.21,-1,0.23,6.08,4.07,1.14,-2,-2,-2,79,87,-2,0.2,0,0,-2,-2,-2,5,92,93,85
Beloit Memorial Hospital,"1969 W. Hart Road Beloit, WI",b,c,ns,ns,b,a,a,-1,0.504,0,0.754,0.702,0,0.92,-1,0.24,8.69,4.56,1.15,70,75,60,77,88,120,0.9,0.301,0,100,120,100,50,90,92,88
Ben Taub General Hospital,"1504 Taub Loop Houston, TX",c,c,c,c,ns,ns,ns,1.018,0.227,1.186,1.045,1.706,0,0.89,167.79,0.34,7.65,4.83,1.39,45,45,-2,81,86,-2,0.4,0,0,-2,-2,-2,5,91,90,84
Benefis Hospitals,"1101 26th Street South Great Falls, MT",c,c,c,c,c,c,c,0,0.689,0,1.29,-1,0,1.34,154.62,0.33,7.26,4.53,1.57,45,45,-2,76,86,-2,0.78,0.286,0,-2,-2,-2,5,90,90,83
Berkshire Medical Center,"725 North Street Pittsfield, MA",b,b,a,a,a,a,a,0.546,1.441,0.178,0.24,0.323,0,1.02,209.09,0.27,5.75,2.31,0.81,40,100,60,79,88,120,0.56,0.526,0,100,120,100,100,90,92,82
Berkeley Medical Center,"2500 Hospital Dr Martinsburg, WV",c,c,c,c,c,c,c,0.726,0.945,0.265,0.615,1.394,0,0.87,155.11,0.22,7.4,3.82,1.05,45,45,-2,74,83,-2,0.11,0.329,0,-2,-2,-2,5,90,90,84
Beth Israel Deaconess Hospital Plymouth,"275 Sandwich Street Plymouth, MA",a,a,a,a,a,a,a,0,1.146,0.254,0.669,0.356,0,0.87,148.14,0.22,4.93,2.79,1.17,100,100,54,78,91,110.77,0.2,0.738,0,90.91,120,100,100,90,92,84
Beth Israel Deaconess Hospital - Needham,"148 Chestnut Street Needham, MA",c,c,b,b,a,a,a,-1,0.866,-1,2.796,-1,0,0.93,-1,0.25,6.25,4.27,1.51,100,100,60,80,90,120,0.61,0.668,0,100,120,100,50,93,94,87
Beth Israel Deaconess Hospital-Milton,"199 Reedsdale Road Milton, MA",c,a,a,a,a,a,a,0.914,1.202,2.673,0,0,0,0.9,154.71,0.31,8.35,4.42,1.05,100,100,48,76,86,120,0.91,0.52,0,100,120,100,100,93,91,79
Bethesda Hospital Inc.,"2815 S. Seacrest Boulevard Boynton Beach, FL",c,c,c,c,c,c,c,1.844,0.733,0.899,1.136,1.087,0,0.99,136.9,0.29,6.37,2.48,1.36,40,100,60,68,80,120,0.37,0.684,0,100,120,100,100,87,87,75
Beth Israel Deaconess Medical Center,"330 Brookline Avenue Boston, MA",b,b,b,b,b,b,c,0.626,0.872,0.987,1.116,1.117,0,0.57,185.04,0.29,7.39,5.92,1.54,100,100,60,80,89,120,1.15,0.585,0,100,120,100,100,92,93,82
Bethesda Butler Hospital,"3125 Hamilton-Mason Road Hamilton, OH",c,a,a,a,a,a,a,1.062,0.939,0.239,0.215,0.791,0.072,0.74,155.43,0.27,6.54,3.88,2.01,100,100,30,77,88,110.77,0.48,0.359,0,90.91,120,100,85,91,91,82
Bethesda Hospital West,"9655 West Boynton Beach Blvd Boynton Beach, FL",c,d,c,c,c,c,c,-1,1.075,0.821,2.796,1.696,0,0.99,136.9,0.29,6.37,2.48,1.36,100,100,60,68,80,120,0.37,0.684,0,100,120,100,50,87,87,75
Bethesda North Hospital,"10500 Montgomery Road Cincinnati, OH",c,a,a,a,a,a,a,1.062,0.939,0.239,0.215,0.791,0.072,0.74,155.43,0.27,6.54,3.88,2.01,100,100,30,77,88,110.77,0.48,0.359,0,90.91,120,100,85,91,91,82
Betsy Johnson Regional Hospital,"800 Tilghman Drive Dunn, NC",b,a,a,a,c,c,a,-1,0.113,-1,1.289,-1,0,0.92,-1,0.24,5.62,3.78,1.22,100,100,-2,78,82,-2,0.19,0.208,0,-2,-2,-2,5,90,91,85
Beverly Hospital,"309 W. Beverly Boulevard Montebello, CA",d,f,d,d,ns,ns,ns,0,0.97,0,1.064,-1,0,0.93,166.38,0.23,7.76,3.31,1.11,45,-2,-2,75,82,-2,1.94,0.526,0,-2,-2,-2,5,87,88,80
Beverly Hospital,"85 Herrick Street Beverly, MA",a,a,a,a,a,a,a,0.921,0.79,0.845,1.085,0.469,0,1.12,156.4,0.22,9.31,4.29,1.18,100,100,60,77,88,92.31,0.07,0.424,0,100,120,100,100,91,93,85
Billings Clinic,"2800 10th Avenue N Billings, MT",b,a,c,c,b,a,b,0.27,0.601,0.532,1.01,0.761,0,0.97,151.37,0.27,13.31,3.79,1.38,100,100,60,79,88,120,0.51,0.946,0,90.91,110.77,100,100,92,92,87
Blanchard Valley Health System- Blanchard Valley Hospital,"1900 S. Main Street Findlay, OH",b,b,b,a,a,a,a,0,0.386,0.926,0.488,1.29,0.176,0.87,173.13,0.27,5.31,3.41,1.31,40,100,-2,81,92,-2,0.14,0,0,-2,-2,-2,5,94,93,87
Blessing Hospital,"Broadway & 11th Street Quincy, IL",b,b,c,c,b,b,a,1.793,1.17,0.515,1.042,0.554,0,1.12,165.49,0.28,4.75,4.11,1.06,45,100,60,82,90,120,0.24,0.408,0,90.91,110.77,94.12,100,91,91,86
Blue Ridge HealthCare Hospitals,"2201 South Sterling Street Morganton, NC",b,a,b,b,c,b,c,0.609,0.652,1.506,0.678,1.095,0,0.9,154.16,0.23,7.31,3.01,1.44,100,100,60,81,87,120,0.62,1.625,0,100,120,94.12,100,93,93,88
Blount Memorial Hospital,"907 E. Lamar Alexander Parkway Maryville, TN",d,c,c,c,c,c,c,3.213,1.205,1.11,0.758,0.284,0,0.88,183.98,0.39,16.47,3.49,1.3,100,100,48,73,85,110.77,0.11,0.429,0,90.91,110.77,100,5,91,89,77
Boca Raton Regional Hospital,"800 Meadows Road Boca Raton, FL",c,c,c,c,c,c,c,1.313,0.49,0.981,0.622,2.427,0.05,0.92,120.04,0.24,15.04,5.62,1.82,100,100,60,74,81,120,2.35,0.201,0,100,120,100,100,91,91,80
Bluefield Regional Medical Center,"500 Cherry Street Bluefield, WV",c,c,c,c,b,c,c,-1,0.623,0,0,-1,0,1.21,170.31,0.3,9.11,5.03,1.17,45,45,-2,82,85,-2,0.24,0,0,-2,-2,-2,5,91,90,86
Bluffton Regional Medical Center,"303 S. Main Street Bluffton, IN",c,c,b,c,ns,b,b,-1,0,-1,-1,-1,0,0.95,-1,0.26,6.8,3.61,1.26,45,100,54,84,85,120,0.38,1.625,0,100,101.54,88.24,5,92,93,90
Bon Secours DePaul Medical Center,"150 Kingsley Lane Norfolk, VA",a,a,a,a,a,a,b,0,0.081,0,0.383,0.584,0,0.88,157.94,0.32,7.2,4.44,1.29,100,100,60,77,88,120,0.78,0.492,0,100,110.77,100,100,90,90,82
Bon Secours Mary Immaculate Hospital,"2 Bernardine Drive Newport News, VA",a,a,a,a,a,a,b,0.893,0.17,0.662,0,0.685,0,0.91,147.09,0.32,4.69,5.69,1.06,100,100,60,81,90,120,0.38,0.569,0,100,110.77,100,100,93,93,86
Bolivar Medical Center,"901 East Sunflower Road Cleveland, MS",b,a,a,a,a,a,a,-1,0.85,-1,-1,0,0,1.2,157.36,0.24,6.37,3.16,1.13,15,100,60,82,83,120,0.21,0.356,0,100,110.77,100,5,96,93,85
Bon Secours Maryview Medical Center,"3636 High Street Portsmouth, VA",b,b,b,b,a,b,b,0.461,0.245,0.227,0.97,0.335,0,0.86,208.49,0.28,10.05,3.43,1.38,100,100,60,75,88,120,1.01,0.637,0,100,110.77,100,100,92,90,81
Bon Secours Memorial Regional Medical Center,"8260 Atlee Road Mechanicsville, VA",a,a,b,a,a,a,a,1.72,0.209,0.977,1.248,0.611,0,0.77,155.04,0.16,9,3.26,1.33,100,100,60,78,89,120,0.15,0.336,0,100,120,100,50,92,92,87
Bon Secours St. Francis Hospital,"2095 Henry Tecklenburg Drive Charleston, SC",a,a,b,c,a,a,a,2.218,1.007,-1,0.581,0.531,0,0.88,180.89,0.27,10.05,3.24,1.02,100,100,60,86,89,120,0.37,0.393,0,100,120,100,100,93,93,90
Bon Secours St. Francis Medical Center,"13710 St. Francis Boulevard Midlothian, VA",b,b,b,b,a,a,a,1.328,0.191,0.269,0.922,1.635,0,0.86,166.48,0.21,7.89,7.24,1.69,100,100,60,76,89,120,0.91,0.297,0,100,120,100,50,92,92,83
Bon Secours St. Mary's Hospital of Richmond,"5801 Bremo Road Richmond, VA",a,a,a,a,a,a,a,1.054,0.105,0.134,0.958,0.486,0,1.23,158.52,0.25,7.23,3.31,1.53,100,100,60,78,87,120,0.28,0.665,0,100,120,100,100,91,91,83
Boone Hospital Center,"1600 East Broadway Columbia, MO",b,b,b,c,b,b,b,0.407,0.814,0.328,0.822,1.729,0,0.77,153.32,0.33,4.82,2.5,1.78,45,-2,-2,81,89,-2,0.25,0.518,0,-2,-2,-2,65,92,91,87
Boston Medical Center,"1 Boston Medical Center Place Boston, MA",c,b,a,a,c,c,b,1.118,0.906,0.829,1.189,1.639,0.096,1.03,181.45,0.32,4.5,6.15,1.37,100,100,60,77,87,120,0.24,0.287,0,100,120,100,100,91,90,80
Bothwell Regional Health Center,"601 East 14th Street Sedalia, MO",c,c,c,c,b,c,c,-1,0.656,-1,0.381,0,0,1.2,184.99,0.28,7.87,2.72,2.01,45,-2,-2,77,89,-2,0.5,0.771,0,-2,-2,-2,5,91,90,86
Boulder Community Foothills Hospital,"4747 Arapahoe Ave Boulder, CO",c,c,c,c,b,b,c,1.75,1.074,0.297,2.49,0.807,0,0.86,144.66,0.29,8.2,4.68,2.4,40,75,60,78,89,120,1.5,1.202,0,100,120,100,100,91,91,83
Bradford Regional Medical Center,"116 Interstate Parkway Bradford, PA",c,c,b,c,d,ns,c,-1,1.3,-1,-1,-1,0,0.91,173.1,0.28,6.31,3.39,1.11,100,75,60,74,84,120,0.19,0.251,0,100,120,100,5,88,89,75
Bozeman Health Deaconess Hospital,"915 Highland Boulevard Bozeman, MT",d,c,d,c,ns,ns,d,-1,0.751,0,2.796,1.701,0,0.89,172.16,0.23,13.97,5.79,2.4,70,100,42,81,90,101.54,0.17,0.256,0,81.82,83.08,70.59,15,93,93,89
Brandywine Hospital,"201 Reeceville Road Coatesville, PA",c,c,c,c,d,c,c,0,1.637,0,1.576,0.639,0,0.92,153.78,0.23,8.07,3.09,1.15,45,45,-2,75,85,-2,1.5,0.23,0,-2,-2,-2,5,91,90,85
Brattleboro Memorial Hospital,"17 Belmont Ave Brattleboro, VT",d,d,c,c,c,c,c,-1,1.844,-1,-1,-1,0,0.93,-1,0.31,7.4,3.14,1.2,45,45,-2,80,88,-2,1.35,0.573,0,-2,-2,-2,5,90,90,86
Bridgeport Hospital,"267 Grant Street Bridgeport, CT",c,c,c,c,c,d,c,0.786,0.954,0.744,1.079,1.105,0,0.83,153.98,0.27,5.5,4.3,1.05,45,45,-2,75,85,-2,1.07,0.253,0,-2,-2,-2,85,90,91,84
Brigham And Women's Hospital,"75 Francis Street Boston, MA",a,a,b,a,a,a,b,0.661,0.596,0.807,1.18,1.292,0.14,0.74,186.09,0.19,2.82,5.09,0.46,100,100,60,80,90,120,0.71,0.456,0,100,120,100,100,92,93,86
Bristol Regional Medical Center,"1 Medical Park Boulevard Bristol, TN",c,c,c,c,b,a,a,1.512,0.64,0.276,0.861,0,0,0.82,197.26,0.27,12.52,2.53,1.32,-2,-2,-2,78,87,-2,2.08,0.57,0,-2,-2,-2,5,91,91,85
Brigham and Women's Faulkner Hospital,"1153 Centre Street Boston, MA",a,a,a,a,a,a,a,1.659,1.157,0.625,1.938,-1,0,0.89,-1,0.26,4.55,2.4,1.27,100,100,60,81,90,120,0.12,0.399,0,100,120,100,100,94,95,89
Bristol Hospital,"41 Brewster Road Bristol, CT",b,a,a,a,a,a,c,0,1.03,0.382,0,0.595,0,0.9,-1,0.28,4.95,2.8,1.11,45,45,-2,81,88,-2,0.19,0.252,0,-2,-2,-2,-2,91,93,86
Broadlawns Medical Center,"1801 Hickman Road Des Moines, IA",d,d,c,c,f,ns,ns,-1,0.467,-1,0,-1,0.362,0.94,-1,0.26,8.21,3.57,1.26,45,45,-2,76,87,-2,0.39,0.879,0,-2,-2,-2,5,90,87,78
Bronson Battle Creek,"300 North Avenue Battle Creek, MI",a,a,b,a,b,b,b,0.766,1.012,0.351,1.302,1.376,0,1.12,136.86,0.36,8.82,3.67,1.52,100,100,60,81,93,110.77,0.11,0.336,0,100,120,100,100,91,92,85
Brookdale Hospital Medical Center,"1 Brookdale Plaza Brooklyn, NY",d,d,d,d,f,f,d,1.569,0.395,1.188,0.386,1.662,0,0.94,215.45,0.36,11.61,7.24,1.12,100,75,60,67,77,120,2.18,1.479,0,100,120,100,100,87,82,68
Bronson Methodist Hospital,"601 John Street Kalamazoo, MI",b,b,c,b,b,b,b,0.986,0.68,0.578,0.975,1.211,0,0.77,197.36,0.47,8.68,4.22,2.09,70,100,60,80,90,110.77,0.23,0.082,0,100,120,100,50,93,93,87
BronxCare Health System,"1650 Grand Concourse Bronx, NY",c,c,c,c,c,c,c,0.835,0.64,1.062,0.768,0.47,0,0.93,155.33,0.23,10.15,5.17,1.46,100,100,60,70,80,120,0.57,0.51,0,100,120,100,100,88,86,74
Broward Health Imperial Point,"6401 N. Federal Highway Fort Lauderdale, FL",b,b,c,c,c,c,d,0.549,0.747,0.84,1.179,0.685,0,0.88,-1,0.34,9.63,4.85,1.06,100,100,60,79,85,120,0.19,0,0,100,120,100,5,92,92,83
Brooks Memorial Hospital,"529 Central Avenue Dunkirk, NY",c,c,c,c,ns,ns,ns,-1,0.587,-1,-1,-1,0,0.95,-1,0.26,6.16,3.96,1.24,45,5,-2,75,88,-2,0.35,0,0,-2,-2,-2,-2,90,91,84
Brookwood Baptist Medical Center,"2010 Brookwood Medical Center Drive Birmingham, AL",b,b,b,b,b,b,b,0.569,0.435,1.061,0.886,0.227,0.116,0.84,170.2,0.23,-1,3.8,0.88,100,100,60,80,88,120,0.19,0.813,0,100,120,100,5,92,91,86
Broward Health Coral Springs,"3000 Coral Hills Drive Coral Springs, FL",b,b,c,c,c,c,d,0,0.67,0.63,1.196,1.968,0,0.9,-1,0.24,8.8,3.3,1.09,100,100,60,73,79,120,0.82,0.302,0,100,120,100,100,89,89,79
Brownwood Regional Medical Center,"1501 Burnett Road Brownwood, TX",c,c,c,c,b,b,c,-1,0,-1,-1,-1,0,0.92,159.1,0.35,8.89,3.67,1.18,40,75,60,79,87,120,1.26,0.431,0,90.91,101.54,82.35,5,94,92,84
Broward Health Medical Center,"1600 S. Andrews Avenue Fort Lauderdale, FL",c,c,c,d,c,c,d,1.21,0.357,0.885,1.537,1.397,0.14,0.89,139.56,0.44,8.08,4.23,1.51,100,100,60,76,82,120,1.09,0.14,0,100,120,100,100,88,89,79
Broward Health North,"201 E. Sample Road Pompano Beach, FL",c,c,b,a,b,c,c,1.542,0.523,0.719,0.482,2.369,0,1.19,144.57,0.3,12.44,4.69,1.36,100,100,60,78,86,120,0.64,0.48,0,100,120,100,5,90,92,85
Buffalo General Medical Center,"100 High Street Buffalo, NY",b,b,b,b,b,c,c,1.068,0.958,0.586,0.713,0,0,1.17,187.63,0.22,5.38,5.02,1.6,100,100,60,75,87,120,1.19,0.453,0,100,120,100,100,88,89,82
